keys,en,ru
PLAY,Play,Играть
SETTINGS,Settings,Настройки
CREDITS,Credits,Титры
IPADDR,IP Address (client),IP адрес (клиент)
PORT,Port,Порт
MAXCLIENTS,Max clients (server),Максимум клиентов (сервер)
HOST,Host,Создание сервера
CONNECT,Connect,Подключение к серверу
PRERELEASE_WARN,"WARNING! This game/platform is in ALPHA stage of development.\nThis means, that the game has some incomplete, not-working and unstable features.","Внимание! Игра/платформа еще находится в состоянии АЛЬФА версии.\nЭто означает, что игра имеет незаконченные, неработающие или нестабильные функции."
PLAYER_NICK,"Please, set you nickname!",Задайте свое имя!
EXIT,Exit,Выход
MODS,Select mods (host only),Выбрать модификации (только для сервера)
